Include,Reason,Attribute,HighCritHab_m,TotalLength_m,HighCritHab_p,MeanElev_m,MaxElev_m,MeanCanopy_p,MeanAnnualPrecip_mm,MeanBFI,MeanAugtemps_c,CVAugtemps,Threshold18_p,LowGradient_m,HighIP_m,NOSAEJ_CV,Watershed_sqkm,Sedimentary_p,HighIP_p,Estuary_sqkm,MeanHFI,Public_sqkm,Public_p,LogDriveLength_m,Latitude,Develop_p,Agric_p,SplashCount,lake_sqkm,lake_p
Y,,Sedimentary_p,0.033810172,-0.128571429,0.249055781,-0.483116883,-0.466233766,-0.161038961,-0.341558442,-0.484415584,0.294805195,-0.458441558,-0.022490629,0.400779495,0.012987013,-0.446753247,-0.231168831,1,0.372727273,0.015589478,0.032467532,-0.14025974,0.157142857,0.072911221,-0.236363636,-0.042857143,-0.284043034,0.227419104,0.29908998,0.375813062
N,,HighIP_p,0.03250978,-0.031168831,0.200039484,-0.420779221,-0.428571429,-0.322077922,-0.37012987,-0.277922078,0.203896104,-0.316883117,-0.025136586,-0.089639498,0.158441558,-0.124675325,-0.135064935,0.372727273,1,-0.429360205,0.272727273,-0.058441558,0.341558442,-0.090646382,-0.098701299,-0.267532468,-0.169645839,0.08563312,0.413524407,0.435631058
Y,,Estuary_sqkm,0.668618204,0.7151673,-0.047707024,0.593699284,0.749594064,0.17278338,-0.441701875,-0.272815864,0.526794442,0.574212437,-0.692804056,0.434372969,0.595647969,-0.148749602,0.780123458,0.015589478,-0.429360205,1,-0.574212437,0.763884418,-0.22604743,0.713907872,-0.372848347,-0.190321543,0.693758274,0.674053267,-0.291382252,-0.452683142
Y,,MeanHFI,-0.433030275,-0.585714286,0.378882731,-0.592207792,-0.572727273,-0.288311688,0.361038961,0.211688312,-0.479220779,-0.435064935,0.713085245,-0.063007473,-0.519480519,-0.087012987,-0.714285714,0.032467532,0.272727273,-0.574212437,1,-0.615584416,0.294805195,-0.412506725,0.449350649,0.420779221,-0.673383485,-0.23233248,0.334200543,0.494148662
N,HighIP_m,Public_sqkm,0.840052726,0.938961039,-0.235808133,0.7,0.835064935,0.281818182,-0.54025974,-0.303896104,0.475324675,0.78961039,-0.707793332,0.29165315,0.9,0.119480519,0.945454545,-0.14025974,-0.058441558,0.763884418,-0.615584416,1,0,0.803993999,-0.258441558,-0.203896104,0.696782912,0.761573235,-0.27828372,-0.469441229
Y,,Public_p,-0.217165333,-0.183116883,-0.215936661,-0.419480519,-0.261038961,-0.105194805,0.07012987,-0.498701299,0.149350649,-0.135064935,0.013229782,-0.01623904,-0.135064935,0.115584416,-0.254545455,0.157142857,0.341558442,-0.22604743,0.294805195,0,1,-0.214792515,-0.114285714,0.14025974,-0.277543193,0.078614011,-0.005201565,0.050715257
N,HighIP_m,LogDriveLength_m,0.878703994,0.82829774,-0.02546153,0.574750612,0.644377544,0.544535152,-0.313978049,-0.074224936,0.160273314,0.626642382,-0.398805427,0.616332797,0.834866318,0.068970073,0.767866818,0.072911221,-0.090646382,0.713907872,-0.412506725,0.803993999,-0.214792515,1,0.099842392,0.147793015,0.462878997,0.861261127,-0.105234011,-0.272293004
Y,,Latitude,-0.024707433,-0.151948052,0.007948589,0.08961039,-0.094805195,0.557142857,0.677922078,0.742857143,-0.871428571,0.112987013,0.699855463,0.118220208,-0.088311688,0.431168831,-0.277922078,-0.236363636,-0.098701299,-0.372848347,0.449350649,-0.258441558,-0.114285714,0.099842392,1,0.75974026,-0.440689192,-0.058258598,-0.10663208,-0.016905086
N,Latitude,Develop_p,-0.05331604,-0.187012987,-0.03046959,-0.083116883,-0.106493506,0.467532468,0.648051948,0.367532468,-0.71038961,-0.011688312,0.594017207,0.399480372,-0.161038961,0.468831169,-0.332467532,-0.042857143,-0.267532468,-0.190321543,0.420779221,-0.203896104,0.14025974,0.147793015,0.75974026,1,-0.514787375,0.098267514,-0.007802347,0.079323864
N,HighIP_m,Agric_p,0.586397688,0.735131971,-0.135920846,0.629834553,0.750731589,0.048748804,-0.399090212,-0.230094357,0.527787056,0.577835829,-0.72371284,0.031859565,0.603185207,0.117647115,0.783880776,-0.284043034,-0.169645839,0.693758274,-0.673383485,0.696782912,-0.277543193,0.462878997,-0.440689192,-0.514787375,1,0.355162023,-0.438008484,-0.635209926
N,HighIP_m,SplashCount,0.766078343,0.733496802,0.004295984,0.408512095,0.522923558,0.323580886,-0.437290438,-0.32709044,0.324984708,0.551701901,-0.455475244,0.519582727,0.718756675,-0.048431846,0.638036931,0.227419104,0.08563312,0.674053267,-0.23233248,0.761573235,0.078614011,0.861261127,-0.058258598,0.098267514,0.355162023,1,-0.051306164,-0.156026965
N,Estuary_sqkm,lake_sqkm,-0.055989583,-0.252275896,0.53059545,-0.54486392,-0.530559616,-0.317295457,-0.098829732,-0.045513693,-0.078023473,-0.482445141,0.181483859,0.202276519,-0.189857118,-0.397919712,-0.293888415,0.29908998,0.413524407,-0.291382252,0.334200543,-0.27828372,-0.005201565,-0.105234011,-0.10663208,-0.007802347,-0.438008484,-0.051306164,1,0.942708333
N,Estuary_sqkm,lake_p,-0.225260417,-0.444733796,0.57834904,-0.642393261,-0.678804215,-0.364109541,-0.023407042,-0.009102739,-0.170351249,-0.582575265,0.335149024,0.08780492,-0.351105628,-0.383615409,-0.514954922,0.375813062,0.435631058,-0.452683142,0.494148662,-0.469441229,0.050715257,-0.272293004,-0.016905086,0.079323864,-0.635209926,-0.156026965,0.942708333,1
