"","HighCritHab_m","TotalLength_m","HighCritHab_p","MeanElev_m","MaxElev_m","MeanCanopy_p","MeanAnnualPrecip_mm","MeanBFI","MeanAugtemps_c","CVAugtemps","Threshold18_p","LowGradient_m","HighIP_m","NOSAEJ_CV","Watershed_sqkm","Sedimentary_p","HighIP_p","Estuary_sqkm","MeanHFI","Public_sqkm","Public_p","LogDriveLength_m","Latitude","Develop_p","Agric_p","SplashCount","lake_sqkm","lake_p"
"NOSAEJ_CV",0.0299089979800922,0.115584415584416,-0.370934141852887,0.215584415584416,0.271428571428571,0.325974025974026,0.453246753246753,0.235064935064935,-0.428571428571429,0.255844155844156,0.193154815786052,0.0220850937273163,0.0922077922077922,1,0.025974025974026,-0.446753246753247,-0.124675324675325,-0.148749601869278,-0.087012987012987,0.119480519480519,0.115584415584416,0.0689700734807554,0.431168831168831,0.468831168831169,0.117647114739891,-0.0484318462802226,-0.397919712256879,-0.383615408875096
"Watershed_sqkm",0.803641771812912,0.916883116883117,-0.238457662619713,0.78961038961039,0.871428571428571,0.280519480519481,-0.553246753246753,-0.15974025974026,0.477922077922078,0.777922077922078,-0.735575873815374,0.202013651446923,0.863636363636364,0.025974025974026,1,-0.231168831168831,-0.135064935064935,0.780123457838439,-0.714285714285714,0.945454545454545,-0.254545454545455,0.767866818085744,-0.277922077922078,-0.332467532467532,0.783880775559716,0.638036931430758,-0.293888414934819,-0.514954921744196
"Sedimentary_p",0.0338101716296695,-0.128571428571429,0.249055780958367,-0.483116883116883,-0.466233766233766,-0.161038961038961,-0.341558441558442,-0.484415584415584,0.294805194805195,-0.458441558441558,-0.0224906292353622,0.40077949499277,0.012987012987013,-0.446753246753247,-0.231168831168831,1,0.372727272727273,0.0155894779251645,0.0324675324675325,-0.14025974025974,0.157142857142857,0.0729112205367986,-0.236363636363636,-0.0428571428571429,-0.284043033930013,0.227419104272349,0.299089979800922,0.375813061575941
"HighIP_p",0.0325097804131437,-0.0311688311688312,0.200039483642093,-0.420779220779221,-0.428571428571429,-0.322077922077922,-0.37012987012987,-0.277922077922078,0.203896103896104,-0.316883116883117,-0.025136585615993,-0.0896394980696957,0.158441558441558,-0.124675324675325,-0.135064935064935,0.372727272727273,1,-0.429360204522238,0.272727272727273,-0.0584415584415584,0.341558441558442,-0.0906463822889929,-0.0987012987012987,-0.267532467532468,-0.169645839486804,0.0856331195099587,0.413524406855188,0.435631057536126
"Estuary_sqkm",0.668618204379154,0.71516729981692,-0.0477070243328696,0.59369928431668,0.749594063568325,0.17278338033724,-0.441701874546327,-0.272815863690378,0.526794441554516,0.574212436910225,-0.692804055539299,0.434372969460689,0.595647969057326,-0.148749601869278,0.780123457838439,0.0155894779251645,-0.429360204522238,1,-0.574212436910225,0.763884418333059,-0.226047429914885,0.71390787197546,-0.372848347043517,-0.19032154300305,0.693758274082656,0.674053267031393,-0.291382252492083,-0.452683142264485
"MeanHFI",-0.433030275103074,-0.585714285714286,0.378882730606877,-0.592207792207792,-0.572727272727273,-0.288311688311688,0.361038961038961,0.211688311688312,-0.479220779220779,-0.435064935064935,0.713085244580012,-0.0630074732808731,-0.519480519480519,-0.087012987012987,-0.714285714285714,0.0324675324675325,0.272727272727273,-0.574212436910225,1,-0.615584415584416,0.294805194805195,-0.412506725199185,0.449350649350649,0.420779220779221,-0.673383485472526,-0.232332479981937,0.334200542647117,0.494148662279784
"Public_sqkm",0.840052725875633,0.938961038961039,-0.235808133035049,0.7,0.835064935064935,0.281818181818182,-0.54025974025974,-0.303896103896104,0.475324675324675,0.78961038961039,-0.70779333181875,0.291653149516619,0.9,0.119480519480519,0.945454545454545,-0.14025974025974,-0.0584415584415584,0.763884418333059,-0.615584415584416,1,0,0.803993999432806,-0.258441558441558,-0.203896103896104,0.696782911608637,0.761573234986109,-0.27828372033651,-0.469441229165795
"Public_p",-0.2171653331598,-0.183116883116883,-0.215936661150073,-0.419480519480519,-0.261038961038961,-0.105194805194805,0.0701298701298701,-0.498701298701299,0.149350649350649,-0.135064935064935,0.0132297819031542,-0.0162390395053797,-0.135064935064935,0.115584415584416,-0.254545454545455,0.157142857142857,0.341558441558442,-0.226047429914885,0.294805194805195,0,1,-0.214792514554353,-0.114285714285714,0.14025974025974,-0.277543193336649,0.0786140113534047,-0.00520156486610299,0.0507152574445042
"LogDriveLength_m",0.878703993816243,0.828297739611739,-0.0254615295200188,0.574750612339629,0.644377543663058,0.544535151576631,-0.313978048798106,-0.0742249362221463,0.160273313612422,0.626642381910864,-0.398805426709777,0.616332796974672,0.834866318038478,0.0689700734807554,0.767866818085744,0.0729112205367986,-0.0906463822889929,0.71390787197546,-0.412506725199185,0.803993999432806,-0.214792514554353,1,0.0998423920864269,0.147793014601619,0.462878997195436,0.861261126970241,-0.105234011235478,-0.2722930040718
"Latitude",-0.0247074331139892,-0.151948051948052,0.00794858875399043,0.0896103896103896,-0.0948051948051948,0.557142857142857,0.677922077922078,0.742857142857143,-0.871428571428571,0.112987012987013,0.699855462676858,0.118220207599164,-0.0883116883116883,0.431168831168831,-0.277922077922078,-0.236363636363636,-0.0987012987012987,-0.372848347043517,0.449350649350649,-0.258441558441558,-0.114285714285714,0.0998423920864269,1,0.75974025974026,-0.440689192230089,-0.0582585976993982,-0.106632079755111,-0.0169050858148347
"Develop_p",-0.0533160398775557,-0.187012987012987,-0.03046959022363,-0.0831168831168831,-0.106493506493506,0.467532467532468,0.648051948051948,0.367532467532468,-0.71038961038961,-0.0116883116883117,0.594017207451624,0.39948037183234,-0.161038961038961,0.468831168831169,-0.332467532467532,-0.0428571428571429,-0.267532467532468,-0.19032154300305,0.420779220779221,-0.203896103896104,0.14025974025974,0.147793014601619,0.75974025974026,1,-0.51478737499444,0.0982675141917559,-0.00780234729915449,0.0793238642080706
"Agric_p",0.586397688060942,0.735131971109485,-0.13592084618734,0.629834553496986,0.750731588533559,0.0487488044502311,-0.399090212432559,-0.230094357005091,0.527787056181169,0.577835828750073,-0.723712839748633,0.031859564601734,0.603185207064193,0.117647114739891,0.783880775559716,-0.284043033930013,-0.169645839486804,0.693758274082656,-0.673383485472526,0.696782911608637,-0.277543193336649,0.462878997195436,-0.440689192230089,-0.51478737499444,1,0.355162022989312,-0.438008483978928,-0.635209926245816
"SplashCount",0.766078342887049,0.733496802359893,0.00429598432002953,0.408512094711443,0.522923557663273,0.323580886017139,-0.437290438153314,-0.327090440095416,0.32498470764845,0.551701901105144,-0.455475243546038,0.519582726670032,0.718756675231129,-0.0484318462802226,0.638036931430758,0.227419104272349,0.0856331195099587,0.674053267031393,-0.232332479981937,0.761573234986109,0.0786140113534047,0.861261126970241,-0.0582585976993982,0.0982675141917559,0.355162022989312,1,-0.0513061642483987,-0.156026965248555
"lake_sqkm",-0.0559895833333333,-0.252275896005995,0.530595449972511,-0.544863919724288,-0.530559616342505,-0.317295456832283,-0.0988297324559569,-0.0455136925784012,-0.0780234729915449,-0.482445141331053,0.181483858642824,0.202276519029102,-0.189857117612759,-0.397919712256879,-0.293888414934819,0.299089979800922,0.413524406855188,-0.291382252492083,0.334200542647117,-0.27828372033651,-0.00520156486610299,-0.105234011235478,-0.106632079755111,-0.00780234729915449,-0.438008483978928,-0.0513061642483987,1,0.942708333333333
"lake_p",-0.225260416666667,-0.444733796051806,0.578349040470037,-0.64239326096372,-0.678804215026441,-0.36410954062721,-0.0234070418974635,-0.00910273851568024,-0.170351249364873,-0.582575265003535,0.335149023625069,0.0878049198357838,-0.351105628461952,-0.383615408875096,-0.514954921744196,0.375813061575941,0.435631057536126,-0.452683142264485,0.494148662279784,-0.469441229165795,0.0507152574445042,-0.2722930040718,-0.0169050858148347,0.0793238642080706,-0.635209926245816,-0.156026965248555,0.942708333333333,1
