"","pops_names","CVCurrent_LOO_V","CVnull_LOO_V","DD","TotalLength_m","MaxElev_m","MeanAnnualPrecip_mm","MeanBFI","MeanAugtemps_c","CVAugtemps","Threshold18_p","Sedimentary_p","MeanHFI","Public_p","Develop_p","Agric_p","SplashCount","biomass_diff","biomass_mean","bvr_km","mean_hat_smolts","mean_per_hat_spawners","high_pulse","n_days_lt05","shannon","SST_apr_jun","SST_jan_mar","lake_p","tot_est_p","LowGradient_p","LogDriveLength_p","p_wetland","pc1","pc2","pc3"
"1","Alsea",0.549702433374794,0.28112050400218,0.268581929372614,-0.140868744328954,-0.477389878824753,0.496460961579492,0.314193902830392,-0.457171822994493,-0.714179059850087,0.921464060850056,0.491884284439858,-0.701108176287005,-1.09522744775453,0.023480272015051,-0.323148957093556,-0.614126154889987,0.0690625746944694,1.91075840660796,-0.066481770507578,1.73725699814697,0.0773289550008756,1.38853197194832,-0.75379017043577,0.859092447064053,-0.359485149615324,0.12171531213143,-0.332443802825874,-0.461597681903299,-0.619908982250239,0.174096165269794,0.623840002532227,1.2011994962645,-0.292833135242418,-2.48084511279303
"2","Beaver",0.554667290856492,0.268395090233616,0.286272200622876,-1.16541156254357,-1.50652324599863,-0.0162104284476055,0.234234776429671,-0.629602318452066,-1.27023916028512,1.05867304466666,1.19136992086764,1.31808639607471,-0.37864992742649,-0.186004589614884,-0.776350500600225,-0.614126154889987,2.20255298815916,0.721463807090846,-0.175909896685285,-0.797098795736531,-0.549035580506217,0.341959293407233,2.09387853265874,1.32152882352103,0.226010941735614,-0.0582908736621144,1.0492415383504,0.993897954245631,1.68128794534607,-1.15075429735038,2.45283058469185,2.26402245495033,3.30865278719293,-1.41003554141563
"3","Coos",0.571225956382614,0.298567415948974,0.27265854043364,0.376697797918612,0.568949282288642,-0.447773343411927,-1.48414272382976,0.524447443020297,0.643661081782565,-0.237287937962402,0.808585446031047,0.148277635231911,0.725076547892145,0.398347919142304,-0.465889600717704,2.10095789830785,-0.106619396605104,-0.813984367103356,0.0789353342590133,-0.176523595369555,-0.757823759008581,-0.168656777168178,0.0366801318329698,-1.49344643973807,-0.553013594602033,0.726941974479155,-0.114319513169884,2.08267686530761,0.228215334874483,0.121647368587783,-0.701916791603371,-1.37456303513776,0.692495205155852,2.14900804478166
"4","Coquille",0.561314669274152,0.30070479218346,0.260609877090692,0.888377747615224,0.762230852120259,-0.726559285585958,-1.44807722500123,0.969212277754209,0.416520391468181,-0.878186675273493,0.784063965015456,-0.605203155822994,0.332296335374417,-0.24848253080276,0.561843033376159,2.77972891160731,-0.339538680361198,-0.551635193329918,-0.0641510766320947,-0.403408568726816,-0.757823759008581,0.0541068461188789,0.118547261151548,0.476059379135654,-0.92241923433728,0.760285676580326,-0.396059302016564,-0.809784658974529,0.519518971910998,1.21562772659843,-0.110277632843332,-2.72024027096958,1.36503198869426,1.87421738875297
"5","Floras",0.556313764818511,0.2695488511475,0.28676491367101,-1.01209412753045,-1.38504277779925,-0.00152339448352586,-1.1395020104846,0.945265699620748,-1.63390139414427,-0.60908002314287,0.0567319009936976,-0.381477360480472,1.55662557606588,-0.428566008344283,-0.28746379618752,-0.614126154889987,-0.0661737513077683,-2.42948205984177,1.25531659758977,-0.797098795736531,-0.549035580506217,0.879778454529358,-0.231865595250661,1.72616204023326,-1.86084303110373,1.08495840714901,3.165327873068,-1.16368811702822,1.04564475888459,-1.15075429735038,2.65585251943785,0.556279180424645,5.68638024364441,-0.431336390769042
"6","Lower.Umpqua",0.558102668311475,0.288085620625397,0.270017047686078,0.480206564193905,-0.434564468634622,-0.771207272012418,-0.229869013479455,0.272150778962478,0.0543652656033524,0.0114586714083399,1.01390089724633,-0.635493010198943,-0.534917323804511,-0.347712202101151,-0.430204439811667,0.646448584094723,0.889611907487505,0.672162690449133,-0.62961753174184,-0.762317557485786,-0.618631640007005,-0.520509637872444,0.0858212956598464,-0.237168257059459,-0.270015518052024,0.635322059554415,-0.308840310114106,0.628589950124135,0.000288372859344336,1.04557963947295,-0.390612202447374,-1.20252650880056,0.551455078213842,-0.0395867580823815
"7","Middle.Umpqua",0.553302714564257,0.278339434995133,0.274963279569124,0.992310237229396,0.608654960610618,-1.5872561086614,-1.29588572115385,1.31889773751406,1.17623133521674,-1.32522239674048,0.561292544263649,0.59356377053574,0.843332955961999,-0.564547409753189,3.38810777713428,0.355546721252098,-0.556566258247755,-1.0602884463826,-0.394277513906586,-0.776730902616895,-0.549035580506217,-1.93445991983403,1.86045714027001,0.0392072540057599,-0.270015518052024,0.635322059554415,-0.546722115977413,0.383661611929929,-1.24413812565686,-0.367527056518186,-0.409244546369926,-4.46731646003313,0.0872387405679686,2.78739489148999
"8","Necanicum",0.552429504472516,0.267336298179533,0.285093206292983,-1.14758951295084,-1.03657818185924,1.219286922277,0.658769924081654,-0.887748924867094,-0.968866410366555,1.05867304466666,-0.513080818877063,2.36430842183649,1.72697111626174,3.13267663936462,-0.783487532781433,-0.517158867275779,-2.18942155227227,-0.812698772034287,-0.405809927329205,-0.797098795736531,0.00773289550008751,-0.862505958564525,-0.448011171775717,-0.0357036582931816,1.2289941455672,-2.90625783157082,-0.498632793500871,0.00237948777255914,1.49597597937483,1.87034069696798,0.0807694235111811,4.95249563001508,-0.392398172306351,3.94952987505952
"9","Nehalem",0.563481307727851,0.292627742273295,0.270853565454556,1.82745853407246,0.376754891744413,0.374013320474151,1.7201300145098,-0.754938441854814,1.4765440896119,-0.0186387831062697,-0.376758009163271,-0.54932657613373,0.0300855147514574,-0.152928032515421,-0.376676698452612,-0.129289716818945,-1.05631253569794,-0.221831356775609,3.10294794732938,2.12438052737494,0.0773289550008756,-0.830214468351234,-0.466304082462243,0.228251082967964,1.13259495086241,-1.20576247590744,-0.379742214868336,-0.801759137485594,-1.13445060744001,-0.276790971607826,-0.402699358136244,0.531462066730543,-3.46687428943848,0.676335037611859
"10","Nestucca",0.552691591644912,0.270745040990706,0.281946550654205,-0.406831506465509,0.479753312058204,1.17292253548773,1.21170515979083,-1.2850897814689,0.240599987199012,1.05867304466666,-0.548408376272406,-0.535990630858249,-1.26557298795039,0.207238922567626,-0.208956442194238,-0.614126154889987,1.27199773341983,0.791497568604269,-0.275070406713604,-0.797098795736531,-0.549035580506217,0.626127984228594,-0.896705371939121,0.208213662129301,1.24516459732996,-0.456542015421494,-0.54829793165934,-0.816532169753312,-0.57133030627203,-0.732249546849365,-0.110858579902912,1.50354910816959,-1.54126012847889,-2.00672032767543
"11","North.Umpqua",0.556703610281419,0.270178737122159,0.28652487315926,-0.415073877742243,1.06597929128337,-1.37804967510548,0.772614326953764,0.998805953312026,0.532951276236363,-1.51200365858115,-1.75120780100325,-0.931229941538599,-1.7038725321458,-1.71487656221231,0.237108069131223,-0.614126154889987,0.0507358159872578,1.00844249308115,-1.23872511840912,0.0651865329797032,2.37399891852688,-0.373492944158272,0.281294050096452,-2.82097690034322,-0.270015518052024,0.635322059554415,-0.519643505179788,-0.382053989622289,-1.38079804105124,-0.466287555311261,-0.630114805275216,-3.14595798296601,-2.70771020105779,-2.82702353744227
"12","Salmon",0.551186774504815,0.265495148322625,0.28569162618219,-1.15906651838554,-0.602935452185667,1.23130529618671,0.660789122359681,-1.58160624188174,0.0804109503707344,1.05867304466666,-0.784895201660052,1.30572114867823,0.391424539409344,1.01210181198791,-0.783487532781433,-0.614126154889987,-0.115420170587225,0.443842123771455,0.151536583453567,0.922663703320155,2.8611713350324,0.175307132332422,-0.898411203518718,-0.172504602958936,1.24516459732996,-0.456542015421494,1.75707667187247,2.18996640520858,0.624182467007211,-1.15075429735038,-0.925987561834878,3.94068927559861,-1.5120854260402,-0.653243694254436
"13","Siletz",0.547395030271271,0.280182140052445,0.267212890218827,-0.411479284847629,0.183946008559486,0.869480271224756,0.129726054580915,-1.25078794700354,0.438435989141312,1.05867304466666,-0.675171964573341,0.33057124727391,0.887444473257897,0.185187884501317,-0.433772955902271,-0.614126154889987,-1.38475514451383,-0.231894587237677,0.083151280095082,0.268932244153508,-0.0618631640007005,0.56798374479239,-0.811051895372163,-0.240476052222102,0.874001845460372,-0.243069472062691,-0.533404354686848,-0.130059157226848,-0.131210747303768,-0.325804625887785,-0.420136284963447,1.84460322956346,-1.22729159618946,0.361568132198474
"14","Siuslaw",0.553211925437546,0.299369414653206,0.25384251078434,0.867234110559578,-0.527825544026596,-0.489356498532772,-0.109452798566227,0.254853231256834,0.150899137952174,-0.29925328549248,0.918724301440056,-0.7658238070156,-0.850737016784715,-0.116176302404906,-0.28746379618752,0.743415871708932,-0.105812017705548,1.19826031258762,0.444925632784107,-0.665976310030282,-0.340247402003853,-0.370705427146284,0.00787685520977316,0.686216905305564,-0.673870857913402,0.270370017908996,-0.0453811043976583,-0.426330849241613,-0.70226065917009,1.58208588845389,0.219034649384874,-1.14411948006789,0.344157774357726,-0.00670747518499522
"15","Sixes",0.553015782644891,0.264377175563839,0.288638607081052,-1.02410180621356,-0.702435991313951,0.490933123217269,-1.32616928691768,1.08553654967762,-1.30223302987954,-1.2570605144574,0.8189759040885,-1.50126486847781,0.553792464775096,-0.979841960002009,-0.212524958284842,-0.614126154889987,-0.289593987734381,0.137196092751804,-1.29369359198068,-0.797098795736531,-0.201055283002277,1.8015690189769,-0.580748875781004,-0.250930507445329,-1.86084303110373,1.08495840714901,-0.54829793165934,-1.31012376914424,0.200839853022747,-1.15075429735038,-0.617212520001337,-1.40725546292937,2.8298970988177,-2.116932358248
"16","South.Umpqua",0.557663906290782,0.287008176779213,0.270655729511569,1.93392678880395,2.4874425752101,-1.76279849478911,-0.235973589610754,1.29948916239641,1.40116538886452,-1.57839510236337,-0.975664011594902,-0.870782026948594,-0.498314149878127,-0.98351713301306,1.33621102503716,-0.42019157966157,0.488449676233486,-0.113919838243741,-1.10586972961128,-0.0311547144758009,0.146925014501664,-1.86736891080757,2.07442548358995,-0.000638900798984612,-0.270015518052024,0.635322059554415,-0.54829793165934,-0.638385408852906,-1.38079804105124,-0.847484739518949,-0.511547296847146,-5.15813779314176,-1.88797251082092,0.0415130663587601
"17","Tillamook",0.546316432351647,0.277352818732393,0.268963613619254,0.136435209665017,0.834882789716541,1.45996713810264,1.30820954923737,-1.16266330331873,0.78561443233841,0.878973536829431,-2.07414323742891,0.803558000353299,-1.26369590210801,0.31381893988812,0.386985744936578,-0.129289716818945,0.199809254770297,-0.0983001481115005,-0.0139283265671345,1.8723306325185,-0.131459223501488,0.127002692527311,-0.834122286929084,0.24221527386144,1.13259495086241,-1.20576247590744,-0.161270303335405,0.0866985941719054,-0.11673883773641,0.819183932535764,-0.615345630896444,2.03840187717855,-3.41041902441727,-0.118165007947913
"18","Yaquina",0.549163055369105,0.28006259239481,0.269100462974296,-0.620130049049851,-0.695298422948929,-0.133635067519557,0.258699538269465,0.340949948326685,-1.50798027125969,0.609866884698807,1.05380025618695,0.613612933777704,0.543937764102607,0.449800341297025,-0.540828438620382,-0.517158867275779,1.03799354428101,-0.549588725883784,0.546721514573492,-0.189145011105986,-0.479439521005429,0.965546905041109,-0.637970097004815,-0.53510154936475,0.226010941735614,-0.0582908736621144,-0.490292968240101,0.572444070472506,1.48568066465162,0.79060026720829,-0.186373968436359,1.78741467515074,1.57353556734709,0.251029767559898
