"","vars1","pc1_loadings","pc2_loadings","pc3_loadings"
"1","CohoDataSummary$Population","-0.237287508251906","-0.177586844756785","0.157132750351609"
"2","TotalLength_m","-0.230946226260396","-0.267905396464877","0.0389482760788128"
"3","MaxElev_m","0.318708478845829","-0.0563539274620124","-0.054341404614154"
"4","MeanAnnualPrecip_mm","0.191772581853285","-0.284945491504913","-0.150657450575479"
"5","MeanBFI","-0.303867885382298","0.171842491010456","0.0438807628753778"
"6","MeanAugtemps_c","-0.174767409165366","-0.314696308288064","0.12780540834284"
"7","CVAugtemps","0.326110304003507","-0.0534374108495777","-0.0123568273481665"
"8","Threshold18_p","-0.0425486821563922","0.294135949939666","0.0796666213109303"
"9","Sedimentary_p","0.237128900878378","-0.0135763511289372","0.279616947860995"
"10","MeanHFI","0.0767680772180471","0.206534271608217","0.356886896695802"
"11","Public_p","0.274915791168266","-0.028872019316794","0.303646536111378"
"12","Develop_p","-0.254619018795292","-0.061434595985087","0.150004475425695"
"13","Agric_p","-0.148918612253168","0.042811842315288","0.270365659963188"
"14","SplashCount","-0.0372528081381678","0.105307874555171","-0.301485584989776"
"15","biomass_diff","0.0165387784751828","-0.161946993064192","-0.332218160918684"
"16","biomass_mean","0.112018670646236","-0.0154115549134164","0.107208746934724"
"17","bvr_km","0.0841378136960043","-0.263342463522212","-0.095642536483125"
"18","mean_hat_smolts","0.0503379445384318","-0.187525028600886","-0.188504395516517"
"19","mean_per_hat_spawners","0.160133305092359","0.175519795606574","-0.307854017454895"
"20","high_pulse","-0.210763384719173","0.0746442715379224","0.0865140986866602"
"21","n_days_lt05","0.0992195018839321","0.1885265975918","0.017799590338302"
"22","shannon","0.208616410113858","-0.293253380347393","0.0863634455195223"
"23","SST_apr_jun","-0.257764561686742","0.196576686276254","-0.192649627070031"
"24","SST_jan_mar","0.109483694350557","0.2229776415107","-0.0780693074299052"
"25","lake_p","0.0971032161172124","-0.0266748008625491","0.136521792395069"
"26","tot_est_p","0.229839456134511","0.259515676358639","0.11070993805662"
"27","LowGradient_p","0.0419525474463845","-0.0617363827800725","0.283406419630459"
"28","LogDriveLength_p","-0.237287508251906","-0.177586844756785","0.157132750351609"
"29","p_wetland","-0.230946226260396","-0.267905396464877","0.0389482760788128"
